dal_km,al_km,descrizione,tipo_lavoro,importo_lav_principali,importo_lav_totale,data_consegna_impresa,avanzamento_lavori,ultimazione,sospesa,impresa,id,regione,strada,CUP
0,14.7,(CUP-F77H18000410001) RA 12 Chieti- Pescara dal km. 0+000 al km. 14+800 Lavori di ripristino di funzionalita e di completamento degli impianti di illuminazione lungo l?asta principale e gli svincoli. 1? Lotto,Lavori di manutenzione straordinaria.,438733.76,506388.76,09/05/2018,4.26,21/09/2018,,ATI STACCHIO IMPIANTI SRL-IGE IMPIA SRL-TATANGELO CIRO SRL,14597,ABRUZZO,RA12,F77H18000410001
0,14.7,(CUP-F77H18000510001) RA 12 Chieti- Pescara dal km. 0+000 al km. 14+800 Lavori di ripristino di funzionalita e di completamento degli impianti di illuminazione lungo l?asta principale e gli svincoli. 2? Lotto,Lavori di manutenzione straordinaria.,436022.44,493727.44,31/05/2018,0,28/10/2018,,ATI STACCHIO IMPIANTI SRL-IGE IMPIA SRL-TATANGELO CIRO SRL,14598,ABRUZZO,RA12,F77H18000510001
391.661,524.6,(CUP-F67H18000470001) Lavori di manutenzione straordinaria delle pavimentazioni e della relativa segnaletica orizzontale lungo la SS 16 di competenza dell`Area Compartimentale Abruzzo - CDP 2017,Lavori di manutenzione straordinaria.,1233145.09,1263745.09,09/05/2018,13.03,18/08/2018,,ATI APPALTI ENGINEERING SRL-COGI SR A.STRA.SPA-CELI CALC.SPA-MARINELLI,14589,ABRUZZO,SS16,F67H18000470001
504,508.6,(CUP-F97H13000540001) S.S.016 - Lavori di risanamento e sistemazione del corpo stradale per viziosita planoaltimetriche dal Km 504+000 al Km 508+600 della Strada Statale n. 16 Adriatica.,Lavori di manutenzione straordinaria.,2624294.93,3220995.99,14/05/2015,58.06,02/03/2017,,C.G.F. COSTRUZIONI GENERALI SPA,14582,ABRUZZO,SS16,F97H13000540001
514.153,514.253,CUP - F37H16001810001 -Lavori di manutenzione straordinaria per il completamento del ripristino del viadotto S. Nicola 1 al km. 514+153,Lavori di manutenzione straordinaria.,395833.29,490039.62,07/05/2018,0,02/11/2018,,L. & C. LAVORI E COSTRUZIONI S.R.L.,14599,ABRUZZO,SS16,F37H16001810001 
164,167.8,(CUP-F77H13001950001) S.S. 005 Lavori di realizzazione opere di protezione tra i Km 160+900 e 167+800 Stralcio Fase 2,Lavori di manutenzione straordinaria.,3180789.58,3612579.14,06/10/2014,84.97,10/01/2018,,ATI TENAGLIA SRL- FOSSACECA SRL,14584,ABRUZZO,SS5,F77H13001950001
0,0,SS 652 DI FONDO VALLE SANGRO  Lavori di costruzione del tratto compreso tra la stazione di Gamberale e la stazione di Civitaluparella - 2? Lotto 2? Stralcio -2? tratto,Lavori straordinari per nuove costruzioni.,125903494.63,137368177.41,22/02/2018,0.12,31/05/,,ATI DE SANCTIS COSTRUZIONI SPA - OB ER CAV. PIETRO SRL - IRCOP SPA,14601,ABRUZZO,SS652,
12.209,82.9,(CUP-F57H16000500001) Lavori di realizzazione di sistemi per l`esercizio stradale e adeguamento della segnaletica lungo le strade dei centri di manutenzione C Pescara - CDP2016,Lavori di manutenzione straordinaria.,233630.3,259874.74,17/11/2017,65.85,31/03/2018,,ATI TRAFFITEK SRL - SEGNALETICA DCF,14595,ABRUZZO,SS652,F57H16000500001
0,20,(CUP-F37H15000010001) Lavori di manutenzione straordinaria per l`adeguamento delle barriere di sicurezza tra i km 0+000 e 6+000 e tra i km 7+000 e 20+000 della SS 690,Lavori di manutenzione straordinaria.,79301.05,399083.66,25/01/2018,37.83,27/08/2018,,LA FORTUNA SRL,14583,ABRUZZO,SS690,F37H15000010001
33.1,57.85,(CUP-F47H16000400001) S.S. 80 Lavori di manutenzione straordinaria per la messa in sicurezza del costone di monte dalla caduta massi con rete ai km 33+100 e 57+850 della SS. 80 - CDP2016,Lavori di manutenzione straordinaria.,529936,563713.78,28/05/2018,0,24/09/2018,,BETA COSTRUZIONI S.R.L.,14593,ABRUZZO,SS80,F47H16000400001
