dal_km,al_km,descrizione,tipo_lavoro,importo_lav_principali,importo_lav_totale,data_consegna_impresa,avanzamento_lavori,ultimazione,sospesa,impresa,id,regione,strada
0,0,SS 652 DI FONDO VALLE SANGRO  Lavori di costruzione del tratto compreso tra la stazione di Gamberale e la stazione di Civitaluparella - 2? Lotto 2? Stralcio -2? tratto,Lavori straordinari per nuove costruzioni.,125903494.63,137368177.41,22/02/2018,0.12,31/05/,,ATI DE SANCTIS COSTRUZIONI SPA - OB ER CAV. PIETRO SRL - IRCOP SPA,14601,ABRUZZO,SS652
0,0,(CUP-F41B08000240001) VILLA LEMPA| SS N? 81 ``Piceno Aprutina`` Lavori di ammodernamento della sede stradale  del tratto ``Villa Lempa`` - Variante  S.S. 80,Lavori straordinari per nuove costruzioni.,13845865.37,16739255.36,22/08/2011,99.34,27/10/2013,,CO.STRA.M SRL,14600,ABRUZZO,SS81
0,0,Adeguamento Strutturale e messa in sicurezza dell`Itinerario Basentano (compreso Raccordo Autostradale Sicignano Potenza) ed innalzamento dell`accessibilita alla citta capoluogo di regione.,Lavori straordinari per nuove costruzioni.,19634724.96,22548718.24,,2.73,,,ATI CONS. ST.GRANDI LAV SCRL+GIACOV IMPR.PIETRO CIDONIO SPA+TECHNITAL S,14914,BASILICATA,RA05
0,0,Collegamento mediano Murgia - Pollino Pisticci - Tursi - Valsinni 3? stralcio. Realizzazione di un nuovo ponte per l`attraversamento del fosso Chiobica sulla S.P. ex S.S. 176 in prossimita di quello parzialmente crollato il 23/02/2013. ubicato al km 4+100 in agro di Pisticci.,Lavori straordinari per nuove costruzioni.,1068561.84,1293096.94,24/11/2016,83.32,13/10/2018,,ATI CASSINO S.R.L.+DE ROSA OFFICINE,14915,BASILICATA,SS176
0,0,SS 655 ``Bradanica`` I Tronco I Lotto della Martella.,Lavori straordinari per nuove costruzioni.,49563059.34,58001166.25,21/01/2011,99.89,20/12/2012,,ATI INTINI-CONSORZIO RAVENNATE(ATA -PRESENTS-PRO ITER,14911,BASILICATA,SS655
0,0,AUTOSTRADA  A3 SALERNO-REGGIO CALABRIA - MESSA IN SICUREZZA DEL TRATTO DAL KM 433+785 SVINCOLO DI CAMPO CALABRO (escluso) AL KM 442+077 SVINCOLO DI S. CATERINA (incluso).,Lavori straordinari per nuove costruzioni.,31222234.92,37577149.5,18/01/2018,2.55,17/01/,,ATI STEELCONCRETE CONS. STABILE - UNIROCK SRL - ODOS CONS. STABILE,14994,CALABRIA,A3
0,0,Interventi di messa in sicurezza della SS 106 Jonica tra i Km 219+000 e 278+000. con particolare riferimento agli svincoli di Curto. Le Castella. Crotone. Torre Melissa. Ciro. Ciro Marina. Crucoli. Cariati. Mandatoriccio. Mirto Crosia. Rossano. Crotone Aeroporto - Stralcio 2 Parte A svincoli di Crotone Aeroporto. Gabella. Nuovo Ciro Marina. La Marinella. Mandatoriccio. Calopezzati. Zolfatara e Innesto Aranceto.,Lavori straordinari per nuove costruzioni.,13126721.45,24323152.81,28/07/2014,50.94,16/07/2016,,A.T.I.  COOP. COSTRUZIONI SOC. COOP SAMMARCO COSTRUZIONI GENERALI S.R.L. ? CALGECO S.R.L.,14700,CALABRIA,SS106
0,0,MEGALOTTO 4 - Progettazione esecutiva ed esecuzione dei ?lavori di adeguamento della SS 534 come raccordo autostradale (megalotto 4). collegamento tra l`autostrada A3 (svincolo di Firmo) e la SS 106 Jonica (svincolo di Sibari).,Lavori straordinari per nuove costruzioni.,96872793.26,125753419.18,06/06/2016,99.78,24/02/2018,,INTERCANTIERI VITTADELLO S.P.A.,14703,CALABRIA,SS106
0,0,SS 182 ``Trasversale delle Serre`` - Tronco 1? - Lotto 2? da A3 svincolo Serre a SP Fondovalle del Mesima - Tronco 1? lotto 1? - 2? stralcio da SP Fondovalle Mesima a Viadotto Scornari e Tronco 3? - lotto 2? da Loc. Cimbello a bivio Montecucco,Lavori straordinari per nuove costruzioni.,21647198.32,29300595.01,23/12/2013,98.56,10/03/2016,,CAVALLERI OTTAVIO  S.P.A. IN LIQUID E CONCORDATO PREVENTIVO,14701,CALABRIA,SS182
0,0,SS 54 ``del Friuli`` - Variante all`abitato di Cividale del Friuli al km 13+900,Lavori straordinari per nuove costruzioni.,2654666.51,3767659.36,23/05/2018,2.86,22/05/,,RTI: BRUNELLI PLACIDO FRANCO S.R.L. FACCO M.  S.R.L.,14958,FRIULI,SS54
